total_requests,external_domain_count,redirect_count,js_requests,ip_based_requests,suspicious_tld_count,download_attempts,final_url_differs,unique_request_domains,unique_request_domain_ratio,script_domain_count,external_request_ratio,error_flag,timeout_flag,document_requests,script_requests,stylesheet_requests,image_requests,font_requests,xhr_fetch_requests,other_requests,label
1,1,0,0,0,0,0,0,1,1.0,0,1.0,1,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,1.0,0,1.0,1,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,1.0,0,1.0,1,0,1,0,0,0,0,0,0,0
16,2,1,5,0,0,0,1,3,0.1875,2,0.125,0,0,5,5,2,1,2,0,1,0
3,2,0,1,0,0,0,0,3,1.0,1,0.6666666666666666,0,0,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
93,6,1,19,0,0,0,1,7,0.07526881720430108,3,0.06451612903225806,0,0,2,19,20,46,3,2,1,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
73,7,2,25,0,0,0,1,8,0.1095890410958904,5,0.0958904109589041,0,0,3,25,10,24,2,6,3,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
83,7,0,11,0,0,0,0,8,0.0963855421686747,3,0.08433734939759036,0,0,2,11,4,64,2,0,0,0
6,3,0,1,0,0,0,0,4,0.6666666666666666,1,0.5,0,0,2,1,2,0,1,0,0,0
68,10,0,15,0,0,0,0,11,0.16176470588235295,8,0.14705882352941177,0,0,5,15,1,30,0,16,1,0
19,2,1,9,0,0,0,0,3,0.15789473684210525,3,0.10526315789473684,0,0,3,9,0,2,0,5,0,0
101,15,1,24,0,1,0,0,16,0.15841584158415842,7,0.1485148514851485,0,0,5,24,14,48,4,5,1,0
2,0,0,0,0,0,0,0,1,0.5,0,0.0,1,0,2,0,0,0,0,0,0,1
5,2,1,1,0,0,0,1,3,0.6,1,0.4,0,0,2,1,0,0,2,0,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
46,11,0,25,0,0,0,0,12,0.2608695652173913,7,0.2391304347826087,0,0,2,25,3,12,2,2,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,1,0.5,0,0.0,0,0,1,0,0,1,0,0,0,1
3,2,0,2,0,0,0,0,3,1.0,2,0.6666666666666666,0,0,1,2,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,1.0,0,0.0,1,1,1,0,0,0,0,0,0,0
153,47,8,54,0,1,0,1,48,0.3137254901960784,22,0.30718954248366015,0,0,4,54,34,30,6,21,4,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
74,4,1,25,0,0,0,1,5,0.06756756756756757,2,0.05405405405405406,0,0,3,25,37,5,4,0,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
4,2,0,1,0,0,0,0,3,0.75,1,0.5,0,0,1,1,1,1,0,0,0,1
200,12,1,90,0,0,0,1,13,0.065,6,0.06,0,0,2,90,3,18,11,49,27,0
61,10,1,15,0,0,0,1,11,0.18032786885245902,5,0.16393442622950818,0,0,9,15,3,10,8,15,1,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
23,3,2,13,0,0,0,1,4,0.17391304347826086,1,0.13043478260869565,0,0,3,13,3,2,2,0,0,1
28,2,0,0,0,0,0,0,3,0.10714285714285714,0,0.07142857142857142,0,0,1,0,5,21,1,0,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
71,7,0,16,0,0,0,0,8,0.11267605633802817,5,0.09859154929577464,0,0,3,16,3,33,5,5,6,1
26,4,1,7,0,0,0,1,5,0.19230769230769232,2,0.15384615384615385,0,0,2,7,1,10,1,1,4,0
83,12,0,44,0,0,0,0,13,0.1566265060240964,7,0.14457831325301204,0,0,2,44,15,11,4,6,1,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
61,12,3,24,0,0,0,1,13,0.21311475409836064,9,0.19672131147540983,0,0,7,24,4,24,0,1,1,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,0
65,9,1,16,0,0,0,1,10,0.15384615384615385,7,0.13846153846153847,0,0,1,16,5,26,14,3,0,0
3,1,0,1,0,0,0,0,2,0.6666666666666666,1,0.3333333333333333,0,0,1,1,1,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
76,9,2,12,0,0,0,1,10,0.13157894736842105,6,0.11842105263157894,0,0,4,12,10,34,8,7,1,1
48,14,1,21,0,0,0,1,15,0.3125,7,0.2916666666666667,0,0,7,21,11,6,1,2,0,0
18,1,1,6,0,1,0,1,2,0.1111111111111111,2,0.05555555555555555,0,0,2,6,2,6,2,0,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
119,19,0,39,0,1,0,0,20,0.16806722689075632,10,0.15966386554621848,0,0,1,39,2,35,10,30,2,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,0
33,4,1,7,0,0,0,1,5,0.15151515151515152,2,0.12121212121212122,0,0,2,7,6,15,2,1,0,1
22,5,1,6,0,0,0,1,6,0.2727272727272727,1,0.22727272727272727,0,0,2,6,10,4,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
16,2,0,0,0,0,0,0,3,0.1875,0,0.125,0,0,3,0,1,12,0,0,0,1
46,3,1,12,0,5,0,0,4,0.08695652173913043,3,0.06521739130434782,0,0,1,12,4,29,0,0,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
143,38,7,54,0,0,0,1,39,0.2727272727272727,20,0.26573426573426573,0,0,7,54,4,29,4,43,2,0
7,2,3,0,0,0,0,1,3,0.42857142857142855,0,0.2857142857142857,0,0,5,0,0,2,0,0,0,1
4,3,0,0,0,0,0,0,4,1.0,0,0.75,0,0,1,0,1,1,1,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
2,0,1,0,0,0,1,0,1,0.5,0,0.0,1,0,2,0,0,0,0,0,0,0
57,10,1,13,0,0,0,1,11,0.19298245614035087,5,0.17543859649122806,0,0,8,13,3,15,2,16,0,0
1,0,0,0,0,0,0,1,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
7,2,3,0,0,0,0,1,3,0.42857142857142855,0,0.2857142857142857,0,0,5,0,0,2,0,0,0,1
612,174,159,70,0,4,0,1,175,0.28594771241830064,30,0.28431372549019607,0,0,122,70,1,215,0,202,2,0
10,1,0,1,0,0,0,0,2,0.2,1,0.1,0,0,1,1,1,3,4,0,0,0
65,8,1,12,0,0,0,1,9,0.13846153846153847,4,0.12307692307692308,0,0,9,12,5,23,2,14,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
36,2,1,8,0,1,0,1,3,0.08333333333333333,2,0.05555555555555555,0,0,1,8,2,25,0,0,0,0
226,39,11,74,0,1,0,1,40,0.17699115044247787,15,0.17256637168141592,0,0,8,74,53,33,7,49,2,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
9,5,1,1,0,0,0,1,6,0.6666666666666666,1,0.5555555555555556,0,0,2,1,2,1,3,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
42,8,2,14,0,0,0,1,9,0.21428571428571427,6,0.19047619047619047,0,0,10,14,1,8,1,5,3,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
32,2,1,8,0,1,0,0,3,0.09375,2,0.0625,0,0,1,8,2,21,0,0,0,0
11,6,1,3,0,0,0,1,7,0.6363636363636364,3,0.5454545454545454,0,0,3,3,0,2,2,0,1,1
80,2,2,47,0,0,0,1,3,0.0375,1,0.025,0,0,3,47,24,1,5,0,0,1
15,8,0,2,0,1,0,0,9,0.6,2,0.5333333333333333,0,0,1,2,5,2,2,3,0,1
118,8,1,94,0,1,0,1,9,0.07627118644067797,3,0.06779661016949153,0,0,3,94,1,3,6,11,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
184,60,7,102,0,0,0,1,61,0.33152173913043476,34,0.32608695652173914,0,0,6,102,4,10,2,58,2,0
28,10,0,7,0,0,0,0,11,0.39285714285714285,6,0.35714285714285715,0,0,4,7,1,8,5,2,1,0
176,9,2,88,0,0,0,1,10,0.056818181818181816,6,0.05113636363636364,0,0,4,88,53,25,5,1,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,1,1,0,0,0,0,0,0,1
54,5,2,11,0,0,0,1,6,0.1111111111111111,2,0.09259259259259259,0,0,3,11,9,25,4,2,0,0
25,1,1,3,0,0,0,1,2,0.08,1,0.04,0,0,4,3,1,16,0,1,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
151,20,6,58,0,0,0,1,21,0.1390728476821192,14,0.13245033112582782,0,0,11,58,35,20,9,18,0,0
2,0,0,0,0,0,0,0,1,0.5,0,0.0,1,1,2,0,0,0,0,0,0,1
288,33,4,45,0,0,0,0,34,0.11805555555555555,22,0.11458333333333333,0,0,3,45,14,182,7,34,3,0
71,5,0,26,0,0,0,0,6,0.08450704225352113,1,0.07042253521126761,0,0,1,26,1,23,0,19,1,0
358,31,0,127,0,0,0,0,32,0.0893854748603352,11,0.08659217877094973,0,0,4,127,45,48,6,33,95,0
2,0,0,0,0,0,0,0,1,0.5,0,0.0,1,1,2,0,0,0,0,0,0,0
148,14,1,23,0,0,0,1,15,0.10135135135135136,8,0.0945945945945946,0,0,3,23,9,106,2,4,1,0
2,1,0,0,0,0,0,1,2,1.0,0,0.5,0,0,2,0,0,0,0,0,0,1
11,4,1,1,0,0,0,1,5,0.45454545454545453,1,0.36363636363636365,0,0,2,1,2,3,2,1,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
8,3,0,3,0,0,0,0,4,0.5,2,0.375,1,1,1,3,1,2,0,0,1,0
3,1,0,0,0,0,0,0,2,0.6666666666666666,0,0.3333333333333333,0,0,1,0,0,2,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,1,0.5,0,0.0,1,0,2,0,0,0,0,0,0,1
183,15,1,82,0,8,0,0,16,0.08743169398907104,9,0.08196721311475409,0,0,2,82,35,52,7,5,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1,1.0,0,0.0,1,1,1,0,0,0,0,0,0,1
20,19,18,0,0,0,0,0,20,1.0,0,0.95,1,0,20,0,0,0,0,0,0,0
13,0,3,2,0,0,0,1,1,0.07692307692307693,1,0.0,0,0,2,2,1,0,1,7,0,0
3,0,1,0,0,0,0,1,1,0.3333333333333333,0,0.0,0,0,3,0,0,0,0,0,0,1
36,8,1,12,0,0,0,0,9,0.25,7,0.2222222222222222,0,0,2,12,2,17,1,2,0,0
4,2,0,0,0,0,0,1,3,0.75,0,0.5,0,0,2,0,0,2,0,0,0,1
137,43,9,49,0,3,0,1,44,0.32116788321167883,24,0.31386861313868614,0,0,12,49,10,26,8,30,2,0
